Source Row,Position Name,Facility,Department,Work Category,Specialty,Job Name,Source HR Department,Source Unit,Source Sub Unit,Source Staff Category,Source Work Speciality,Review Required,Review Reason,Work Category Confidence
19,HQ - MBRU-Administrative Officer-069,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
20,HQ - MBRU-Administrative Officer-060,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
21,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
22,HQ - MBRU-Administrative Officer-074,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
23,HQ - MBRU-Administrative Officer-065,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
24,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
25,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
26,HQ - MBRU-Administrative Officer-079,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
27,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
28,HQ - MBRU-Administrative Officer-081,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
29,HQ - MBRU-Administrative Officer-063,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
30,HQ - MBRU-Administrative Officer-085,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
31,HQ - MBRU-Administrative Officer-087,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
32,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
33,HQ - MBRU-Administrative Officer-064,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
34,HQ - MBRU-Administrative Officer-095,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
35,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
36,HQ - MBRU-Administrative Officer-092,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
37,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
38,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
39,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
40,HQ - MBRU-Administrative Officer-082,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
41,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
42,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
43,HQ - MBRU-Administrative Officer-061,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
44,HQ - MBRU-Administrative Officer-091,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
45,HQ - MBRU-Administrative Officer-057,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
46,HQ - MBRU-Administrative Officer-062,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
47,HQ - MBRU-Administrative Officer-086,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
48,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
49,HQ - MBRU-Administrative Officer-075,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
50,HQ - MBRU-Administrative Officer-072,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
51,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
52,HQ - MBRU-Administrative Officer-093,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
53,HQ - MBRU-Administrative Officer-070,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
54,HQ - MBRU-Administrative Officer-097,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
55,HQ - MBRU-Administrative Officer-080,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
56,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
57,HQ - MBRU-Administrative Officer-099,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
58,HQ - MBRU-Administrative Officer-059,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
59,HQ - MBRU-Administrative Officer-068,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
60,HQ - MBRU-Administrative Officer-056,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
61,HQ - MBRU-Administrative Officer-066,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
62,HQ - MBRU-Administrative Officer-067,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
63,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
64,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
65,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
66,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
67,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
68,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,Administration,,Yes,Department not available at required operational level,High
69,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
70,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
71,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
72,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
73,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
74,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
75,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
76,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
77,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
78,,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
79,,MBRU,Unassigned,Administration,,Training Specialist,HQ - MBRU,,,,,Yes,Work Category inferred with medium confidence; Department not available at required operational level,Medium
80,,MBRU,Unassigned,Administration,,Program Director,HQ - MBRU,,,,,Yes,Work Category inferred with medium confidence; Department not available at required operational level,Medium
81,,MBRU,Unassigned,Administration,,Admin Assistant,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
82,,MBRU,Unassigned,Unknown,,Head of Center,HQ - MBRU,,,,,Yes,Work Category unresolved; Department not available at required operational level,Low
83,,MBRU,Unassigned,Administration,,Driver,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
84,HQ - MBRU-Administrative Officer-096,MBRU,Unassigned,Administration,,Administrative Officer,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
85,,MBRU,Unassigned,Administration,,Senior Research Specialist,HQ - MBRU,,,,,Yes,Work Category inferred with medium confidence; Department not available at required operational level,Medium
86,,MBRU,Unassigned,Medical,,Consultant,HQ - MBRU,,,,,Yes,Department not available at required operational level; Clinical specialty missing,High
87,,MBRU,Unassigned,Administration,,Director,HQ - MBRU,,,,,Yes,Work Category inferred with medium confidence; Department not available at required operational level,Medium
88,,MBRU,Unassigned,Administration,,Accountant,HQ - MBRU,,,,,Yes,Department not available at required operational level,High
89,,MBRU,Affiliates,Administration,,Accountant,MBRU - Affiliates,,,Administration,,No,,High
90,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
91,,MBRU,Affiliates,Administration,,Specialist - Strategy & Institutional Excellence,MBRU - Affiliates,,,Administration,,No,,High
92,MBRU - Affiliates-Senior Officer - Talent Management-001,MBRU,Affiliates,Administration,,Senior Officer - Talent Management,MBRU - Affiliates,,,Administration,,No,,High
93,,MBRU,Affiliates,Faculty,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Faculty,,No,,High
94,,MBRU,Affiliates,Faculty,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Faculty,,No,,High
95,,MBRU,Affiliates,Faculty,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Faculty,,No,,High
96,,MBRU,Affiliates,Faculty,,Clinical Tutor,MBRU - Affiliates,,,Faculty,,No,,High
97,MBRU - Affiliates-Officer - Library Administration-001,MBRU,Affiliates,Administration,,Officer - Library Administration,MBRU - Affiliates,,,Administration,,No,,High
98,,MBRU,Affiliates,Administration,,Manager - Technology & E Resources,MBRU - Affiliates,,,Administration,,No,,High
99,,MBRU,Affiliates,Administration,,Senior Manager - VC Office,MBRU - Affiliates,,,Administration,,No,,High
100,MBRU - Affiliates-Senior Director-001,MBRU,Affiliates,Administration,,Senior Director,MBRU - Affiliates,,,Administration,,No,,High
101,,MBRU,Affiliates,Faculty,,Senior Advisor,MBRU - Affiliates,,,Faculty,,No,,High
102,,MBRU,Affiliates,Administration,,Senior Director - Organ Donation and Transplantation Program,MBRU - Affiliates,,,Administration,,No,,High
103,MBRU - Affiliates-Venue Planner-001,MBRU,Affiliates,Administration,,Venue Planner,MBRU - Affiliates,,,Administration,,No,,High
104,,MBRU,Affiliates,Administration,,Manager - Information & Technical Services,MBRU - Affiliates,,,Administration,,No,,High
105,MBRU - Affiliates-Senior Director-002,MBRU,Affiliates,Administration,,Senior Director,MBRU - Affiliates,,,Administration,,No,,High
106,MBRU - Affiliates-Venue Planner-001,MBRU,Affiliates,Administration,,Venue Planner,MBRU - Affiliates,,,Administration,,No,,High
107,MBRU - Affiliates-Dean - Student Affairs-001,MBRU,Affiliates,Faculty,,Dean - Student Affairs,MBRU - Affiliates,,,Faculty,,No,,High
108,,MBRU,Affiliates,Administration,,Senior Manager,MBRU - Affiliates,,,Administration,,No,,High
109,,MBRU,Affiliates,Administration,,Senior Officer - Employee Happiness,MBRU - Affiliates,,,Administration,,No,,High
110,,MBRU,Affiliates,Administration,,Senior Manager - Digital Marketing,MBRU - Affiliates,,,Administration,,No,,High
111,MBRU - Affiliates-Senior Specialist - Institutional Excellence and Compliance-001,MBRU,Affiliates,Administration,,Senior Specialist - Institutional Excellence and Compliance,MBRU - Affiliates,,,Administration,,No,,High
112,,MBRU,Affiliates,Administration,,Chief Accountant,MBRU - Affiliates,,,Administration,,No,,High
113,MBRU - Affiliates-Senior Manager - Administration Services-001,MBRU,Affiliates,Administration,,Senior Manager - Administration Services,MBRU - Affiliates,,,Administration,,No,,High
114,MBRU - Affiliates-Director - Strategy & Institutional Excellence-001,MBRU,Affiliates,Faculty,,Director - Strategy & Institutional Excellence,MBRU - Affiliates,,,Faculty,,No,,High
115,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
116,,MBRU,Affiliates,Administration,,Senior Specialist - Institutional Research,MBRU - Affiliates,,,Administration,,No,,High
117,MBRU - Affiliates-Senior Executive-001,MBRU,Affiliates,Administration,,Senior Executive,MBRU - Affiliates,,,Administration,,No,,High
118,,MBRU,Affiliates,Administration,,Executive - Multimedia,MBRU - Affiliates,,,Administration,,No,,High
119,,MBRU,Affiliates,Administration,,Administrative Assistant - Employee Happiness,MBRU - Affiliates,,,Administration,,No,,High
120,,MBRU,Affiliates,Administration,,Senior Executive - Creatives,MBRU - Affiliates,,,Administration,,No,,High
121,MBRU - Affiliates-Marketing and Communications Administrator-001,MBRU,Affiliates,Administration,,Marketing and Communications Administrator,MBRU - Affiliates,,,Administration,,No,,High
122,MBRU - Affiliates-Accountant - Receivables-001,MBRU,Affiliates,Administration,,Accountant - Receivables,MBRU - Affiliates,,,Administration,,No,,High
123,,MBRU,Affiliates,Administration,,Officer - Information & Technical Services,MBRU - Affiliates,,,Administration,,No,,High
124,MBRU - Affiliates-Venue Planner-001,MBRU,Affiliates,Administration,,Venue Planner,MBRU - Affiliates,,,Administration,,No,,High
125,,MBRU,Affiliates,Administration,,Specialist - Communications,MBRU - Affiliates,,,Administration,,No,,High
126,MBRU - Affiliates-Officer - Administrative Services-001,MBRU,Affiliates,Administration,,Officer - Administrative Services,MBRU - Affiliates,,,Administration,,No,,High
127,,MBRU,Affiliates,Administration,,Assoc Provost-Clinical Partnership & Academic Integration,MBRU - Affiliates,,,Administration,,No,,High
128,,MBRU,Affiliates,Administration,,Office Assistant,MBRU - Affiliates,,,Administration,,No,,High
129,MBRU - Affiliates-Senior Officer - Facility Management-001,MBRU,Affiliates,Administration,,Senior Officer - Facility Management,MBRU - Affiliates,,,Administration,,No,,High
130,,MBRU,Affiliates,Administration,,Creatives Designer,MBRU - Affiliates,,,Administration,,No,,High
131,MBRU - Affiliates-Chief Operating Officer-001,MBRU,Affiliates,Administration,,Chief Operating Officer,MBRU - Affiliates,,,Administration,,No,,High
132,,MBRU,Affiliates,Administration,,Senior Advisor - Ambulatory Care,MBRU - Affiliates,,,Administration,,No,,High
133,MBRU - Affiliates-Chief Finance Officer-001,MBRU,Affiliates,Administration,,Chief Finance Officer,MBRU - Affiliates,,,Administration,,No,,High
134,,MBRU,Affiliates,Administration,,Communication Manager,MBRU - Affiliates,,,Administration,,No,,High
135,,MBRU,Affiliates,Administration,,Senior Advisor - Strategy and Transformation,MBRU - Affiliates,,,Administration,,No,,High
136,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
137,,MBRU,Affiliates,Administration,,Advisor,MBRU - Affiliates,,,Administration,,No,,High
138,,MBRU,Affiliates,Administration,,Specialist - Academic Writing,MBRU - Affiliates,,,Administration,,No,,High
139,,MBRU,Affiliates,Administration,,Senior Library Technician,MBRU - Affiliates,,,Administration,,No,,High
140,,MBRU,Affiliates,Administration,,Manager- HSE,MBRU - Affiliates,,,Administration,,No,,High
141,MBRU - Affiliates-Senior Officer - Talent Management-001,MBRU,Affiliates,Administration,,Senior Officer - Talent Management,MBRU - Affiliates,,,Administration,,No,,High
142,,MBRU,Affiliates,Administration,,Human Resource Officer,MBRU - Affiliates,,,Administration,,No,,High
143,,MBRU,Affiliates,Administration,,Senior Counsellor and Psychotherapist,MBRU - Affiliates,,,Administration,,No,,High
144,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
145,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
146,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
147,,MBRU,Affiliates,Administration,,Project Coordinator,MBRU - Affiliates,,,Administration,,No,,High
148,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
149,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
150,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
151,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
152,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
153,,MBRU,Affiliates,Faculty,,Post Doc Fellowship,MBRU - Affiliates,,,Faculty,,No,,High
154,,MBRU,Affiliates,Administration,,Research Associate,MBRU - Affiliates,,,Administration,,No,,High
155,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
156,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
157,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
158,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
159,,MBRU,Affiliates,Administration,,Learning Technologist,MBRU - Affiliates,,,Administration,,No,,High
160,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
161,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
162,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
163,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
164,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
165,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
166,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
167,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
168,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
169,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
170,MBRU - Affiliates-Administrator-001,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
171,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
172,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
173,,MBRU,Affiliates,Administration,,Administrative Assistant - Employee Happiness,MBRU - Affiliates,,,Administration,,No,,High
174,,MBRU,Affiliates,Administration,,Research Associate,MBRU - Affiliates,,,Administration,,No,,High
175,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
176,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
177,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
178,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
179,,MBRU,Affiliates,Faculty,,Clinical Tutor,MBRU - Affiliates,,,Faculty,,No,,High
180,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
181,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
182,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
183,,MBRU,Affiliates,Para Medical,,Laboratory Assistant,MBRU - Affiliates,,,Para Medical,,Yes,Clinical specialty missing,High
184,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
185,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
186,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
187,,MBRU,Affiliates,Administration,,Research Assistant - Bioinformatics,MBRU - Affiliates,,,Administration,,No,,High
188,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
189,,MBRU,Affiliates,Administration,,Administrator,MBRU - Affiliates,,,Administration,,No,,High
190,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
191,,MBRU,Affiliates,Administration,,Research Assistant,MBRU - Affiliates,,,Administration,,No,,High
192,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
193,,MBRU,Affiliates,Administration,,Project Coordinator,MBRU - Affiliates,,,Administration,,No,,High
194,,MBRU,Affiliates,Administration,,Executive,MBRU - Affiliates,,,Administration,,No,,High
195,,MBRU,Affiliates,Administration,,Senior Manager,MBRU - Affiliates,,,Administration,,No,,High
196,,MBRU,Affiliates,Administration,,Program Director,MBRU - Affiliates,,,Administration,,No,,High
197,,MBRU,Affiliates,Faculty,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Faculty,,No,,High
198,MBRU - Affiliates-Senior Administrator-001,MBRU,Affiliates,Administration,,Senior Administrator,MBRU - Affiliates,,,Administration,,No,,High
199,,MBRU,Affiliates,Medical,,Fellowship Doctor 1,MBRU - Affiliates,,,,,Yes,Clinical specialty missing,High
200,,MBRU,Affiliates,Faculty,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Faculty,,No,,High
201,,MBRU,Affiliates,Administration,,Executive-Procurements & Contracts,MBRU - Affiliates,,,Administration,,No,,High
202,,MBRU,Affiliates,Administration,,Postdoctoral Research Fellow,MBRU - Affiliates,,,Administration,,No,,High
203,,MBRU,Affiliates,Administration,,Senior Library Technician,MBRU - Affiliates,,,,,No,,High
204,,MBRU,Affiliates,Medical,,Intern House Officer,MBRU - Affiliates,,,,,Yes,Clinical specialty missing,High
205,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
206,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
207,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
208,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
209,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
210,MBRU - Affiliates-Officer - Administrative Services-001,MBRU,Affiliates,Administration,,Officer - Administrative Services,MBRU - Affiliates,,,Administration,,No,,High
211,MBRU - Affiliates-Coordinator-001,MBRU,Affiliates,Administration,,Coordinator,MBRU - Affiliates,,,Administration,,No,,High
212,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
213,,MBRU,Affiliates,Administration,,Customer Happiness Representative,MBRU - Affiliates,,,Administration,,No,,High
214,,MBRU,Affiliates,Administration,,Support Staff,MBRU - Affiliates,,,Administration,,No,,High
215,,MBRU,Affiliates,Administration,,Lab Aide,MBRU - Affiliates,,,Administration,,No,,High
216,,MBRU,Affiliates,Administration,,Lab Aide,MBRU - Affiliates,,,Administration,,No,,High
217,MBRU - CAO Office-Head of Section & Consultant-001,MBRU,CAO Office,Medical,Family Medicine,Head of Section & Consultant,MBRU - CAO Office,,,Medical,Family Medicine,No,,High
218,MBRU - CAO Office-Specialist-001,MBRU,CAO Office,Administration,,Specialist,MBRU - CAO Office,,,Administration,,No,,High
219,MBRU - CAO Office-Senior Administrator-001,MBRU,CAO Office,Administration,,Senior Administrator,MBRU - CAO Office,,,Administration,,No,,High
220,MBRU - CAO Office-Assistant Administrative Officer-001,MBRU,CAO Office,Administration,,Assistant Administrative Officer,MBRU - CAO Office,,,Administration,,No,,High
221,MBRU - CAO Office-Director-001,MBRU,CAO Office,Administration,,Director,MBRU - CAO Office,,,Administration,,No,,High
222,MBRU - CAO Office-Project Manager-001,MBRU,CAO Office,Administration,,Project Manager,MBRU - CAO Office,,,Administration,,No,,High
223,MBRU - CAO Office-Senior Administrator-001,MBRU,CAO Office,Administration,,Senior Administrator,MBRU - CAO Office,,,Administration,,No,,High
224,MBRU - CAO Office-Senior Administrative Officer-001,MBRU,CAO Office,Administration,,Senior Administrative Officer,MBRU - CAO Office,,,Administration,,No,,High
225,MBRU - CAO Office-Senior Advisor-001,MBRU,CAO Office,Faculty,,Senior Advisor,MBRU - CAO Office,,,Faculty,,No,,High
226,MBRU - College of Medicine Dept-Specialist-001,MBRU,College of Medicine,Administration,,Specialist,MBRU - College of Medicine Dept,,,Administration,PM - Pathology,No,,High
